Condition,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Mould temperature control unit 1,Maximum injection pressure,Injection time,Dosage time,Cycle time,Switch-over volume,Material cushion
Normal1,288.35,299.23,322.16,295.85,314.59,89.59,1561.72,0.234,3.136,27.87,1.44334,0.918447
Normal1,281.62,290.25,296.76,297.53,310.64,89.37,1548.98,0.224,2.998,27.548,1.41334,0.929772
Normal1,285.52,304.26,311.49,302.41,320.42,89.96,1419.08,0.234,2.998,30.216,1.44334,0.899388
Normal1,278.513125,286.23,320.73,319.29,327.56,86.06,1565.21,0.234,2.9417500000000003,28.256,1.34334,0.996952
Normal1,273.88,280.36,299.98,299.78,304.21,89.66,1515.13,0.224,3.118,27.976,1.47334,0.92958
Normal1,268.11,291.14,309.15,302.24,322.93,93.56,1583.94,0.224,3.11,28.816,1.4052150000000003,0.912977
Normal1,272.7,296.69520833333337,310.53958333333327,322.48,313.22,90.92,1545.8202083333335,0.224,2.988,28.80095833333333,1.39334,0.9538634791666666
Normal1,265.85,284.43,321.89,310.26,313.63,85.63,1518.07,0.224,2.95,27.518,1.40334,0.965242
Normal1,288.28,299.28,313.05,317.75,316.570625,87.61,1482.73,0.224,3.056,29.678,1.40334,0.922977
Normal1,270.15,287.19,324.99,295.15,299.87,94.17,1472.17,0.23316666666666666,2.806,29.008,1.48334,0.91411
Normal1,270.6,282.36,305.83,310.125625,301.63,90.07,1462.57,0.244,2.954,29.996,1.40334,0.947315
Normal1,268.18,308.23,316.61,298.18,311.76,89.73124999999999,1559.28,0.244,2.814,28.956,1.47334,0.920905
Normal1,277.36,293.09,311.77,325.29,313.42,90.9,1463.28,0.234,3.014,28.806,1.46334,0.92411
Normal1,277.05,296.33,301.19,294.76,321.2,94.07,1579.85,0.224,2.994,27.696,1.40334,0.9777
Normal1,275.43,307.63,325.11,319.25,306.42,88.48,1539.3,0.224,3.028,29.646,1.39334,0.974132
Normal1,277.11,290.63,311.06,299.53,318.55,91.11,1491.65,0.244,3.008,27.966,1.43334,0.949772
Normal1,267.01,303.17,310.53958333333327,324.34,320.11,89.5,1555.07,0.224,2.858,27.446,1.42334,0.972037
Normal1,283.26,307.26,300.8,317.21,314.2,89.2,1528.14,0.224,2.99,29.216,1.45334,0.932037
Normal1,283.03,282.5,298.63,300.57,315.74,90.53,1614.07,0.234,2.908,29.456,1.4052150000000003,0.960734
Normal1,286.43,308.45,322.86,320.36,318.75,86.88,1545.8202083333335,0.224,2.856,29.564,1.40334,0.981097
Normal1,287.0,308.26,309.74,295.13,307.38,87.91,1597.26,0.244,3.056,30.204,1.42334,0.931097
Normal1,266.51,305.19,320.89,310.28,323.82,92.26,1579.05,0.244,3.046,28.104,1.35334,0.962422
Normal1,278.513125,292.23,300.86,320.75,304.99,90.71,1546.08,0.234,2.804,27.924,1.36334,0.986952
Normal1,287.54,286.74,311.79,302.48,311.7,87.48,1493.6,0.244,2.974,29.622,1.34334,0.9538634791666666
Normal1,273.37,287.85,310.64,298.93,319.27,92.14,1564.66,0.234,2.894,29.522,1.35334,0.959217
Normal1,289.04,307.28,310.99,301.85,321.18,88.17,1571.12,0.244,2.804,27.592,1.42334,0.96676
Normal1,275.31,296.69520833333337,296.37,310.125625,302.43,92.81,1554.75,0.234,2.934,28.80095833333333,1.34334,0.957892
